scenario,query_idx,query_name,value,ci_low,ci_high,margin,runs,kind
"R,D,Q,F",15,Quality shock occurrence count,1.0,1.0,1.0,0.0,50,estimate_zero_variance
"R,D,Q,F",16,Transport delay window count,3.0,3.0,3.0,0.0,50,estimate_zero_variance
"R,D,Q,F",17,Transport delayed trip count,37.26,31.284599999999998,43.2354,5.9754,50,estimate
"R,D,Q,F + E,A,S,B",1,Service ratio >=95%,0.7654320987654321,0.715437,0.810501,0.04753200000000002,324,probability
"R,D,Q,F + E,A,S,B",2,Avg customer lead time,8.86,8.661021,9.058978999999999,0.198979,50,estimate
"R,D,Q,F + E,A,S,B",3,Safe stock recovery time,39.88,33.36693,46.39307,6.51307,50,estimate
"R,D,Q,F + E,A,S,B",4,Latent production blocked time,23.64,19.6842,27.5958,3.9558,50,estimate
"R,D,Q,F + E,A,S,B",5,Active production blocked time,38.82,27.8431,49.7969,10.9769,50,estimate
"R,D,Q,F + E,A,S,B",6,Defect rate,1.6,1.363266,1.836734,0.236734,50,estimate
"R,D,Q,F + E,A,S,B",7,Stockout duration,4.52,2.3760999999999997,6.6639,2.1439,50,estimate
"R,D,Q,F + E,A,S,B",8,Activation: emergency raw replenishment,12.98,11.84395,14.116050000000001,1.13605,50,estimate
"R,D,Q,F + E,A,S,B",9,Activation: adaptive raw safety stock,44.24,43.519292,44.960708000000004,0.720708,50,estimate
"R,D,Q,F + E,A,S,B",10,Activation: demand surge capacity,135.0,93.2565,176.74349999999998,41.7435,50,estimate
"R,D,Q,F + E,A,S,B",11,Activation: backup finished-goods truck,2.78,2.6610769999999997,2.898923,0.118923,50,estimate
"R,D,Q,F + E,A,S,B",12,Minimum availability,99.66,99.386985,99.933015,0.273015,50,estimate
"R,D,Q,F + E,A,S,B",13,Demand shock occurrence count,1.02,0.9798085,1.0601915,0.0401915,50,estimate
"R,D,Q,F + E,A,S,B",14,Raw shortage occurrence count,2.0,2.0,2.0,0.0,50,estimate_zero_variance
"R,D,Q,F + E,A,S,B",15,Quality shock occurrence count,1.0,1.0,1.0,0.0,50,estimate_zero_variance
"R,D,Q,F + E,A,S,B",16,Transport delay window count,3.0,3.0,3.0,0.0,50,estimate_zero_variance
"R,D,Q,F + E,A,S,B",17,Transport delayed trip count,49.56,43.3635,55.7565,6.1965,50,estimate
